date,spy_return,spy_abs_return,cross_asset_volatility,cross_asset_mean,market_breadth,anomaly_score,is_anomaly,spy_close
2025-04-09,0.10501922561130184,0.10501922561130184,0.0523463251742165,0.10543637945719701,1.0,0.7685942541895671,1,542.402099609375
2025-04-03,-0.04928091580847893,0.04928091580847893,0.044845416577919975,-0.05332281582544513,0.14285714285714285,0.7611799055703874,1,530.6171875
2022-11-10,0.0549540602769103,0.0549540602769103,0.05240328424757309,0.07123677397764146,1.0,0.7540649212584722,1,376.6389465332031
2025-04-04,-0.058542793161707296,0.058542793161707296,0.020741420750368295,-0.056976257999875525,0.0,0.7456642996758677,1,499.5533752441406
2022-09-13,-0.043482677251488466,0.043482677251488466,0.024886266287211266,-0.05280171206931856,0.0,0.7305908580285094,1,373.5870361328125
2022-04-29,-0.03695568873993893,0.03695568873993893,0.040866492494352744,-0.05231914449913306,0.0,0.7263594206944666,1,389.8648071289063
2025-04-10,-0.04381888652681143,0.04381888652681143,0.029939540715592638,-0.033639651176357824,0.14285714285714285,0.7166400212986335,1,518.6346435546875
2022-05-18,-0.040311492475305966,0.040311492475305966,0.02237476698091899,-0.04536747763379783,0.0,0.7044903705143002,1,370.8067932128906
2022-06-13,-0.03796819666806239,0.03796819666806239,0.016703587740690553,-0.045698244736657734,0.0,0.694179159858247,1,354.85260009765625
2022-05-05,-0.03554249088775496,0.03554249088775496,0.024244118150516504,-0.04482109768795942,0.0,0.6877379403963895,1,391.57763671875
2022-11-30,0.03150051397440756,0.03150051397440756,0.026468088329522025,0.04195712349710453,1.0,0.6868871210216804,1,389.0348510742188
2022-05-09,-0.03201717526264791,0.03201717526264791,0.02837689339482365,-0.04784925170003714,0.0,0.6852960964690954,1,376.77783203125
2025-05-12,0.03304728894130027,0.03304728894130027,0.029737715295674517,0.03744272009382827,0.8571428571428571,0.6843906352826272,1,576.382568359375
2022-08-26,-0.033849205769041046,0.033849205769041046,0.025536221100296075,-0.040560296899457234,0.0,0.6783442355831903,1,385.19091796875
2022-10-04,0.030986518009121555,0.030986518009121555,0.013053364346057665,0.03640475510681407,1.0,0.6737799765348904,1,360.68365478515625
2022-03-07,-0.029479055708469426,0.029479055708469426,0.03363345521285365,-0.0304262360183243,0.14285714285714285,0.6705106328529301,1,395.6664733886719
2022-05-04,0.030452868436302793,0.030452868436302793,0.01118038840379414,0.02997516451296724,1.0,0.6687061895728638,1,406.0081787109375
2024-11-06,0.02486558299940067,0.02486558299940067,0.037849232293598656,0.04023040157790393,0.8571428571428571,0.6657234487887003,1,580.6346435546875
2022-06-16,-0.03309589869674745,0.03309589869674745,0.0144093390248913,-0.03259699327428205,0.0,0.6638600854223168,1,346.9512939453125
2024-02-22,0.020695602148280035,0.020695602148280035,0.05749638799271326,0.03630649854297168,0.8571428571428571,0.6616509980685689,1,493.9078674316406
2022-06-10,-0.028995832225694684,0.028995832225694684,0.018572710585095298,-0.038958492041830106,0.0,0.6607874790576286,1,368.8574523925781
2024-08-05,-0.02912387243972847,0.02912387243972847,0.015718554702772097,-0.036915760982266045,0.0,0.6602257069788168,1,506.7171630859375
2022-03-09,0.026810895184044448,0.026810895184044448,0.03969077866942277,0.02619607387887441,0.8571428571428571,0.6597190704683802,1,403.1942443847656
2023-05-25,0.008659755576653438,0.008659755576653438,0.09349288155814979,0.035978265294367824,0.5714285714285714,0.6592060460676841,1,399.0201416015625
2022-06-24,0.03179397032259268,0.03179397032259268,0.019389730948451585,0.027326678264167823,0.8571428571428571,0.6584555246714496,1,370.7169799804688
2022-04-22,-0.027439079830186563,0.027439079830186563,0.003815162579765006,-0.02756097345970205,0.0,0.6572574973103869,1,403.1505126953125
2025-04-17,0.0014266916772247562,0.0014266916772247562,0.08664056092890025,-0.03175625203080131,0.42857142857142855,0.6565481795351175,1,520.44384765625
2022-07-27,0.02596633269470039,0.02596633269470039,0.026840375040776198,0.03916322204493862,1.0,0.654249747006156,1,381.1329040527344
2022-10-07,-0.027893966337518727,0.027893966337518727,0.023291321880636658,-0.03901908022014459,0.0,0.648697323727921,1,346.1979064941406
2022-10-03,0.026401425185590854,0.026401425185590854,0.010074977770937065,0.0321528222492345,1.0,0.6471647477609642,1,349.8432312011719
2026-03-31,0.02906792569891481,0.02906792569891481,0.02006026993225618,0.03032033775765584,0.8571428571428571,0.6467552573416843,1,650.3400268554688
2022-05-13,0.02390780538676518,0.02390780538676518,0.029863096060395115,0.03696920793165875,1.0,0.6465802922387418,1,380.1371154785156
2024-12-18,-0.029803373957551726,0.029803373957551726,0.02481057816761954,-0.01933076564379808,0.14285714285714285,0.6427544369487154,1,575.9584350585938
2022-07-19,0.027019099203621888,0.027019099203621888,0.012028476162081813,0.03129095095110533,1.0,0.6406681366020606,1,372.7982482910156
