portfolio,asset,weight,risk_contribution
Max Sharpe,AAPL,1.465345257596963e-16,7.697344252359655e-17
Max Sharpe,MSFT,0.0,0.0
Max Sharpe,NVDA,0.35832372880701124,0.5633584674568201
Max Sharpe,AMZN,0.0,0.0
Max Sharpe,JPM,0.08617485844379245,0.04044165800533809
Max Sharpe,UNH,0.0,0.0
Max Sharpe,XOM,0.5555014127491963,0.3961998745378418
Min Volatility,AAPL,0.10117717802074637,0.10145723769158016
Min Volatility,MSFT,0.2298584287197496,0.23019873179745978
Min Volatility,NVDA,2.105515940669113e-17,2.975572624254198e-17
Min Volatility,AMZN,0.0,0.0
Min Volatility,JPM,0.2139573082421678,0.2139276732211848
Min Volatility,UNH,0.19863510376025562,0.1988761307190323
Min Volatility,XOM,0.2563719812570807,0.255540226570743
Equal Weight,AAPL,0.14285714285714285,0.14284677553779362
Equal Weight,MSFT,0.14285714285714285,0.14109796356826382
Equal Weight,NVDA,0.14285714285714285,0.2838848481445427
Equal Weight,AMZN,0.14285714285714285,0.1854433080222445
Equal Weight,JPM,0.14285714285714285,0.10069991372035479
Equal Weight,UNH,0.14285714285714285,0.07798748298741033
Equal Weight,XOM,0.14285714285714285,0.06803970801939024
